1,[qry]创新港需要拨号上网吗？,[ans]不需要
2,[qry]所以现在移动5G覆盖范围是创新港的一个角么,[ans]就是5g，4g来回跳
3,[qry]校园网三个设备数不够用，可以申请添加吗,[ans]不行
4,[qry]什么是路由器后台,[ans]路由器后台就是你们最初设置路由器的网页
5,[qry]为什么校园网加了后缀也没反应,[ans]您应该购买套餐并使用该套餐，具体见xjtuana历史推送中的教程
6,[qry]我为什么识别不到蓝牙,[ans]应该要装对应驱动
7,[qry]怎么将路由器设置用套餐呢,[ans]在路由器的界面设置里，用连着你的WiFi的设备进这个网址'192.168.31.1'.
8,[qry]怎么查看当前套餐,[ans]'nethelp.xjtu.edu.cn'
9,[qry]STU绑定的设备怎么解绑呢？,[ans]进'10.6.11.20'自助服务
10,[qry]教学楼的网连不上,[ans]加后缀'@stu'，没办套餐就用不了教学区的网，100元宿舍网络费是另外的，不是套餐.
11,[qry]在哪里看netid,[ans]直接去nethelp上看
12,[qry]请问netid是邮箱前面那几位吗,[ans]如果你是后续补全的邮箱，就不是
13,[qry]宿舍stu计费吗,[ans]宿舍stu不计费
14,[qry]买的不限量套餐是宽带不限量吗,[ans]是的
15,[qry]教育网用完了有啥后果？,[ans]收费
16,[qry]宿舍区stu现在是免费的吗,[ans]是的
17,[qry]办了套餐为什么没短信通知我领卡,[ans]抱歉，这个不归我们管理
18,[qry]哪些地方覆盖了校园网,[ans]xjtu-stu覆盖了教学楼，食堂和实验楼等
19,[qry]我想知道运营商网络包括哪些网？,[ans]运营商网络只有宿舍里的宽带，stu和xjtulib不算
20,[qry]求校园网络自助平台的链接,[ans]'nethelp.xjtu.edu.cn'
21,[qry]我想问一下没有办理套餐怎么用校园网查看考勤？,[ans]在宿舍/图书馆/学校机房
22,[qry]宿舍的stu需要登陆吗,[ans]需要，所有的stu操作相同
23,[qry]stu网络会欠费吗？,[ans]学校网络只有宿舍有线教育网会导致欠费，宿舍stu，教学区xjtu_stu，图书馆xjtulib均不会导致欠费
24,[qry]求上课视频的网站,[ans]class
25,[qry]欠费了应该怎么办？,[ans]上“移动交大”缴费
26,[qry]请问拨号界面是什么？,[ans]'10.6.18.2'
27,[qry]工位没有有线接入点能要求加装吗,[ans]每个房间都有一个总接入点，房间内的走线每个课题组自己安排
28,[qry]第一次连无线要怎么做,[ans]连上wifi，会弹出一个认证界面。如果没有弹，先设置一下ip、DNS自动获取再试试
29,[qry]正版软件管理平台下的wps使用一些功能还需要开会员吗？ ,[ans]不需要再开
30,[qry]激活时报错 0XC004F074 ,[ans]看一下电脑时间，关闭一下杀毒软件，激活时请使用校园网
31,[qry]为什么连stu的网总是频繁的自动断开，要手动重新连接 ,[ans]请尝试重置路由器并配置
32,[qry]校园网是不是不大容易进github？ ,[ans]github不是一直被限流吗
33,[qry]没有评教的话真的没有办法看成绩吗 ,[ans]理论上是这样的，实际上你可以去西南门学生事务大厅打印成绩单的机器上面预览
34,[qry]学校邮箱只能在“移动交通大学”app上登录，网页登录显示“用户名或密码错误，或登录受到限制”，这是怎么回事呀 ,[ans]'http://stu.xjtu.edu.cn/'
35,[qry]请问学生邮箱怎么申请呢 ,[ans]在移动交大APP里个人页面下寻找补全邮箱
36,[qry]请问职工邮箱怎么申请呢？ ,[ans]和学生邮箱申请同理
37,[qry]请问Visio软件怎么安装呀 ,[ans]解压后双击setup
38,[qry]求问一下如何发送TB级文件 ,[ans]快递或者分卷压缩
39,[qry]请问咱们校园网能用向日葵的远程控制断电插座么 ,[ans]可以
40,[qry]请问stu是有网速上限的吗 ,[ans]不买套餐是30mbps
41,[qry]求问下打印成绩单能用身份证号吗 ,[ans]请在西南门学生事务大厅核实
42,[qry]请问学校的正版服务平台在哪里 ,[ans]'http://ms.xjtu.edu.cn'
43,[qry]请问除了webVPN外交大还有什么VPN ,[ans]'http://sslvpn.xjtu.edu.cn'
44,[qry]请问学校有和wps合作的云文档服务吗 ,[ans]'http://wps.xjtu.edu.cn'
45,[qry]图书馆的网络如何连接 ,[ans]图书馆无线缴纳100元开户费用即可使用，不计流量，连接xjtu_lib，账号为上网账号@xjtulib，密码为上网密码。上网账号和密码在'nethelp.xjtu.edu.cn'查看和修改
46,[qry]学校有pt站吗 ,[ans]南洋pt站'http://nanyangpt.com/'
47,[qry]学校教学上课后有回放可以看吗 ,[ans]'class.xjtu.edu.cn'
48,[qry]为什么在教学区连不上wifi ,[ans]要有运营商套餐才可连接，并在账号后添加@stu
49,[qry]创新港的套餐能在兴庆校区这边使用吗,[ans]可以
50,[qry]win10开机蓝屏显示修复失败一直重启怎么办 ,[ans]建议重做系统
51,[qry]请问连上了wifi但打不开网页是怎么回事 ,[ans]改DNS，用nslookup检查当前DNS服务器可用性
52,[qry]请问校园网开通后初始密码要在哪里查询呢 ,[ans]'http://nethelp.xjtu.edu.cn'
53,[qry]如何拨号 ,[ans]如果使用教育网，账号为你的上网账号，如果使用运营商网络，账号为你的上网账号@运营商小写首字母\n移动套餐为你的上网账号@yd\n联通套餐为你的上网账号@lt\n电信套餐为你的上网账号@dx\n密码均为校园网上网密码（默认六位数字），套餐拨号成功后即可上网，无需再进行外网Portal认证，教育网需要在弹出网页(10.6.8.2)再登录一次
54,[qry]怎么缴费啊 ,[ans]基础网就在移动交通大学上缴费
55,[qry]怎么找后勤老师给开工位的有线啊 ,[ans]打网络信息化服务热线82667777问问
56,[qry]学校购买并的软件包在哪里找啊 ,[ans]'http://ms.xjtu.edu.cn'仅限校园网
57,[qry]图书馆账号后面添加什么 ,[ans]添加@xjtulib
58,[qry]wenet是什么 ,[ans]除nethelp外购买套餐的地方
59,[qry]如果现在买了两个套餐，怎么能改套餐让另一个生效呢 ,[ans]公众号wenet服务中心取消上一个套餐
60,[qry]登录页面弹不出来 ,[ans]10.6.18.2
61,[qry]matlab注册始终收不到邮件 ,[ans]多试几次
62,[qry]请问校园卡补办以后，一篇校园卡里的长安通怎么办呀，之前还充了钱 ,[ans]校园卡里的长安通是不记名卡，没认证过的话，丢了就不能挂失了
63,[qry]移动交通大学的app在哪下 ,[ans]'m.xjtu.edu.cn'
64,[qry]网管协会的网站是什么 ,[ans]'ana.xjtu.edu.cn'
65,[qry]在哪里保修 ,[ans]网管协会的网站'ana.xjtu.edu.cn'
66,[qry]如果忘记了STU的上网密码该如何找回呢 ,[ans]'http://nethelp.xjtu.edu.cn'
67,[qry]想求一下查询流量记录的那个网站 ,[ans]'http://auth.xjtu.edu.cn'
68,[qry]学校的vpn是什么 ,[ans]'http://vpn.xjtu.edu.cn'
69,[qry]图书馆网络登录账号是啥 ,[ans] 学号后面加@xjtulib
70,[qry]校园网登录页面弹不出来怎么办？ ,[ans]10.6.18.2
71,[qry]路由器的线怎么插？ ,[ans] WAN口
72,[qry]宿舍stu登录网站是啥 ,[ans]10.6.11.20
73,[qry]带宽是什么意思 ,[ans]带宽跟网速有关，30M的带宽网速大概是30/8 MB/s
74,[qry]我们可以牵外边的网吗？用pppo的话？就是买家庭套餐一类的 ,[ans]这个要问运营商和宿管部门
75,[qry]麻烦问下XJTU WLAN怎么用啊 ,[ans]那个是老师用的
76,[qry]交网费的网址有没有 ,[ans]auth.xjtu.edu.cn
77,[qry]那个请问网络套餐买错了怎么申请退款 ,[ans]wenet公众号
78,[qry]在主楼就只能用xjtu stu了吗 ,[ans]对
79,[qry]请问那个20块的套餐 包含20个g 是有线和stu一共20吗 ,[ans]有线20g，无线不限
80,[qry]现在怎么有两个STU的王网 ,[ans]可能是有人自己路由器搞事情
81,[qry]我想问问为啥我的电脑和手机连校园网进不去一些网站 ,[ans] 检查一下dns试试
82,[qry]请问教研室电脑WiFi为什么会自己断开 ,[ans] 是连接设备太多了？更多情况是网卡+天线性能不足
83,[qry]怎么管理同时在线设备呢 ,[ans]10.184.6.39
84,[qry]谁知道这是怎么回事，校园网老是连不上 ,[ans]检查线路问题
85,[qry]网线连电脑可以用，但是连路由器就不行 ,[ans]重置路由器
86,[qry]创新港的stu网如何进入管理界面呀 ,[ans]self.xjtu.edu.cn管理设备，管理已登录设备
87,[qry]为什么访问不了电脑上的共享文件夹了，但远程控制还可以 ,[ans]能用是bug，逐步会限制
88,[qry]请问为啥在中楼连不上stu ,[ans]得有运营商套餐才行
89,[qry]请问校园网自己的设备如何主动下线吗，设备占满后mac无法打开login页面 ,[ans]http://10.184.6.39
90,[qry]登陆查看在线设备的网页10.184.6.39后显示error怎么办 ,[ans]重进一遍
91,[qry]ogin页面一开始一直转圈，在等待几个文件，后来不转了登录失败显示“请重试”，控制台报错 ,[ans]登
92,[qry]我在我的交大app上面修改了账户密码，app上面可以登陆，但是为什么Pc端的网页上登录不了 ,[ans]去
93,[qry]A区工位区也没网了 网管，ping不通，未使用代理,[ans]据我所知portal服务器是不禁ping的，ping不
94,[qry]插上网线连不上网 ,[ans]拨号，创建个宽带连接，然后连接
95,[qry]拨号的用户名是学号吗 ,[ans]用户名密码在nethelp.xjtu.edu.cn 上面有，有套餐记得加对应后缀
96,[qry]library的密码是多少啊？电脑没连,[ans]8个0
97,[qry]请问一下校园网密码是啥,[ans]nethelp.xjtu.edu.cn 上查
98,[qry]那要是只交了100的话能用多少流量呢,[ans]只交100只能使用有线校园网（教育网）每月15g流量
99,[qry]我开了一个包学期的移动套餐 现在想换电信的 又买个个电信包月的套餐 请问能把当前套餐换成电信吗,"[ans]不能,建议用舍友的号买"
100,[qry]怎么挂vpn呢,[ans]webvpn.xjtu.edu.cn
101,[qry]xjtu_lib这个账号后缀是什么,[ans]账号后边加上@xjtulib
102,[qry]学校的ppt模板是在哪个网址下载的？,[ans]http://vi.xjtu.edu.cn/
103,[qry]stu那个是图书馆吗,[ans]图书馆是xjtulib那个WIFI
104,[qry]创新港的卡务中心在哪里呀~,[ans]五号楼西翼
105,[qry]问下，就是交了一百后怎么连图书馆WIFI,[ans]在上网账号后加上@xjtulib
106,[qry]咱们学校有latex么,[ans]https://mirrors.xjtu.edu.cn/ctan/
107,[qry]请问现在创新港的有线网支不支持使用电信联通的运营商网络,"[ans]创新港校园网为多出口调度，有电信、移动和教育网三种,不支持自主选路和单一出口"
108,[qry]校园网我接网线没反应,[ans]参考置顶教程，按照控制变量法排除PC、网线和所在区域网络的问题
109,[qry]学长 请问 我交了100元开户 但是主楼连不到WiFi 显示无响应数据,[ans]要办理套餐
110,[qry]在实验室的公共设备上用自己的账号连接了校园网，请问应该怎么退出呢？因为打开电脑就自动连接网络了,"[ans]校园网主动下线的方法：
Windows系统下，开始 -> 网络和Internet -> WLAN，选择当前连接的Wi-Fi（XJTU_STU），在“随机硬件地址”处选择“开”，之后重新连接Wi-Fi即可。
有线网下请自行查找更改MAC地址的方法。
认证成功以后，立刻访问_x0001_http://10.184.6.32/deviceList_x0002_，即可管理并下线已登录设备"
111,[qry]请问下网可以使用 但是浏览器打不开东西怎么解决呀,[ans]检查下DNS
112,[qry]各位同学，有没有人知道Linux系统怎么连校园网的宽带？,[ans]要安PPPoE客户端
113,[qry]求告知：在官网上下载office最新版用不了，没账户，咋整啊？,[ans]nic.xjtu.edu.cn可以下载office软件
114,[qry]各位大佬，交网费的网站是哪个,[ans]移动交大客户端
115,[qry]网管你好 我开学就办理了联通的套餐 一直以来stu的网络只有很小概率能认证成功 最近一个周完全没成功过，请各位有空能解决下吗,[ans]stu一个账号只允许一台设备在线
116,[qry]请问开网网址是什么,[ans]nethelp.xjtu.edu.cn
117,[qry]求问一个小小的问题，怎么看自己在学校的邮箱啊，我想注册matlab,[ans]移动交大
118,[qry]你好，想问下就是我是上个月月底在宿舍登录我的上网账号，一直没下，好像系统把这个月用的流量也记入上个月了，怎么解决这个问题呀,[ans]缴清费用就行了
119,[qry]请问有网卡的电脑，插了网线，wifi搜不到，网也连不上，重启也不行,[ans]可以用usb免驱动网卡给电脑弄上网，联网更新驱动试试，或者在官网下驱动用u盘拷贝
120,[qry]请问下图书馆wifi手机连上了，电脑连不上是咋回事呢/emm,[ans]只能连一个
121,[qry]请问可以从哪里查询用了多少流量呢？,[ans]auth.xjtu.edu.cn
122,[qry]请问宿舍网IPV6怎么设置,[ans]路由器弄nat6
123,[qry]校园无线同时只能连接一个设备吗？,[ans]stu是的
124,[qry]购买套餐的那个网站是啥来着,[ans]nethelp.xjtu.edu.cn
125,[qry]图书馆账号后缀是什么啊,[ans]xjtulib
126,[qry]账号密码错误,[ans]nethelp.xjtu.edu.cn看一下密码
127,[qry]网管你好，我办理学校网络套餐基础校园网，在图书馆使用学校无线（xjtu_lib)无法使用，出现问题登录不成功，我的账号是（2214111402），麻烦哪位网管有空能帮我看看解答一下,[ans]学号后面@xjtulib
128,[qry]请问电脑的WiFi连接上搜不到STU咋办呀,[ans]老电脑搜不到，STU是新的WIFI标准
129,[qry]我们宿舍四个插口都提示无网络连接，是不是说明插口有问题啊,[ans]可以到ana.xjtu.edu.cn 或者移动交大报修
130,[qry]那个100元入网的   有啥用啊,[ans]100入网是教育网，有线拨号和stu每月共15g流量
131,[qry]宿舍只能连一个设备吗,[ans]xjtu_stu一个，stu两个，拨号1个
132,[qry]用套餐也需要开通100元那个入网是嘛,[ans]是的
133,[qry]网管您好，我办理了校园网，在宿舍用电脑使用学校无线stu无法使用，总是出现提示“请重试”（手机无此问题），账号是2213712768，麻烦哪位网管有空能帮我看看解答一下。,[ans]宿舍只能连接2台设备，注意不要超出
134,[qry]电脑为什么搜不到STU呢？,[ans]网卡不支持，机器太老了，换电脑或者换网卡
135,[qry]我是校园基础套餐，宿舍里stu手机可以用，但是电脑和iPad就只有连接上了但是登录不了,[ans]手动访问10.6.11.8。苹果机自带浏览器大概率用不了，可以用谷歌浏览器
136,[qry]我们缴费是在哪里缴费的,[ans]移动交大app
137,[qry]网管你好，我办理学校网络套餐（入网申请）时信息错误，请问是否有影响，如何修改,[ans]去网络中心修改
138,[qry]请问校园网是按月缴费吗，我现在账户费用是0元，用流量超过15个G，下个月就会欠费吗,[ans]下下个月，21号左右
139,[qry]我网络密码忘记了咋整,[ans]去nethelp登录账号查询
140,[qry]网管您好，请问在寝室买的100元入网费有流量限制吗,[ans]教育网有，每个月免费15G
141,[qry]为什么nethelp中显示token失效,[ans]改密码
142,[qry]那stu要怎么连呢 我现在连接不上,[ans]直接连，然后进http://10.6.11.8/认证
143,[qry]请问在宿舍免费用的15G流量在哪里看自己用了多少呢,[ans]auth.xjtu.edu.cn
144,[qry]网管你好，我办理学校网络套餐（联通），在（宿舍/教室/图书馆）使用（学校无线（XJTU-WLAN）)&#44;无法使用，出现问题（错误代码E2901），我的账号是（2201420604），麻烦哪位网管有空能帮我看看解答一下。 ,[ans]WLAN是老师用的
145,[qry]谁知道自动交通大学交网费的密码是啥啊,[ans]初始应该是888888
146,[qry]请问STU流量限制是多少,[ans]跟你认证的时候的选择有关系，你要是选教育网，就是15G；要是选的是你的套餐对应的运营商，而且套餐是不限流量的话，就无限制
147,[qry]电子邮箱的用户名是啥,[ans]移动交大，我的账号那里看，需要补全的话自己起个用户名
148,[qry]请问stu wifi是正常的，今天连网一直提示：无响应数据，是怎么回事呀，大一买的，一直在用,[ans]stu要运营商套餐才能用的，套餐失效了无线也就没了，100块入网 无线只有lib和现阶段宿舍stu
149,[qry]请问套餐失效在哪里继续购买呢,[ans]nethelp.xjtu.edu.cn
150,[qry]求救，网信中心进去一进入选择套餐就是TOKEN失效，百度找不到什么解决办法,[ans]改一下密码，然后回去刷新
151,[qry]请问刚入网 无法选择套餐是什么原因，需要等待一段时间吗,[ans]修改一下上网密码，然后等几分钟再看
152,[qry]老师，想问一下macOS 10.15怎么用新的VPN服务啊，登录账户时候提示说更新，但是打开的链接无法下载,[ans]打开的链接无法下载，这个换浏览器可以试试
153,[qry]求问，怎么把现在的套餐退了，重新买其他的套餐，当前套餐太慢了,[ans]联系新路客服，wenet公众号
154,[qry]为啥wifi有网，斗鱼却看不了直播,[ans]有网但部分应用不正常，换DNS通常能解决问题
155,[qry]请问交电费在哪交,[ans]app上面
156,[qry]图书馆的wifi用户名后缀是多少啊，我忘了,[ans]xjtulib
157,[qry]学校软件中心的福昕阅读器怎么激活啊,[ans]在“永久激活”下面的文本框内输入秘钥，然后点击“激活按钮”，此激活秘钥只能在学校内网络执行激活操作。
158,[qry]为什么用学校的网会有打不开别的网校的课程的情况,[ans]建议尝试修改一下DNS，比如114.114.114.114
159,[qry]请问主楼连不上网应该怎么解决呀,[ans]教学区限制一台设备，换设备需要手动下线或者关WiFI等15min左右
160,[qry]请问从学校网信下的office怎么激活吖,[ans]安装正版激活平台即可
161,[qry]问下新办理的移动套餐是立即生效吗，我怎么登不上去了,[ans]似乎是一天来着
162,[qry]请问西区学生能在东区用自己账号上学生网吗,[ans]可以
163,[qry]请问学校网络信息中心下的office怎么激活,[ans]交大官网有教程
164,[qry]想问一下，交大邮箱的名称可以改吗,[ans]不可以
165,[qry]问下咱们学校的ipv6是slaac还是dhcp,[ans]slaac吧
166,[qry]请问网坏了怎么报修,[ans]微信公众号XJTUANA
167,[qry]求问，我连接学校的stu无线，不能跳转网页输入用户名和密码页面,[ans]不跳转可以手动在浏览器地址栏输入10.6.18.2
168,[qry]请问手机能连接到宿舍stu 但电脑搜不到是为什么,[ans]换网卡
169,[qry]宿舍网总是断断续续连不上咋办,[ans]那在西交报修里面报修一下
170,[qry]请问学校给发的邮箱要怎么登录啊,[ans]stu.xjtu.edu.cn 这里登陆
171,[qry]套餐在哪办理,[ans]nethelp.xjtu.edu.cn
172,[qry]手机连wifi可以,[ans]有线没网：最大并发设备为三个，即同时能上网的设备数量最多为三，多了无法上网
173,[qry]校园网无法登录Steam、加载不了好友列表、商店连不上,[ans]教育网不稳定
174,[qry]C区无法上网,[ans]有可能因私自接路由器而导致账号被封禁
175,[qry]无线网网络拒绝接入是什么故障,[ans]一般是信号不好，可以离近了试一下。电脑用户查杀电脑病毒，关闭无用软件，半个小时后再试。
176,[qry]套餐无法购买,[ans]auth.xjtu.edu.cn改一下密码
177,[qry]教学区STU无线网连不上,[ans]限制同时最多一台设备在线
178,[qry]1x和WLAN连不上,[ans]只有教职工可以使用
179,[qry]主楼的网需要在哪里买套餐才能用,[ans]nethelp.xjtu.edu.cn
180,[qry]输入账号和密码提示不正确,[ans]可能密码过于长或者含特殊字符
181,[qry]学校的正版软件网站是什么,[ans]ms.xjtu.edu.cn
182,[qry]网络突然不能用,[ans]检查账号是否欠费，路由器后台账号后面有没有加后缀，或者是买了套餐但未使用
183,[qry]运营商拨号后缀,[ans]yd lt dx
184,[qry]10.6.11.2上不去,[ans]先考虑清除浏览器缓存，不然重启
185,[qry]学生邮箱收不到邮件,[ans]交大邮箱有延迟或者吞邮件的现象，等待一段时间
186,[qry]连宽带也玩不了外服游戏,[ans]移动对端游外服不友好
187,[qry]上个月的套餐没到期，买了新的怎么就直接新的生效了？,[ans]去wenet公众号问下客服吧
188,[qry]去哪交入网费,ans]移动交通大学app
189,[qry]打不开登录网站,[ans]手动打开，网址为10.180.0.1
190,[qry]请问，交网费时的订单编号是什么？没买套餐,[ans]不需要输入订单，进去直接支付
191,[qry]登录设备不够用怎么办？,[ans]暂时下线不用的设备
192,[qry]请问在哪个页面找正版软件那些呀,[ans]网信中心官网
193,[qry]打不开验证界面,[ans]重启电脑试试
194,[qry]校园网怎么登录呢!,[ans]忘记密码重新登陆
195,[qry]宿舍stu之后要收费是如何收费呢,[ans]走校园网免费15G，15-40，1G一块，40-50，1G两块，超了不再收费
196,[qry]请问一下安装office和visio冲突该怎么解决,[ans]安装一个包会自动删除另一个的包
197,[qry]网管你好，我办理学校移动网络套餐在宿舍使用路由器时电源灯正常，网口灯不亮，我的账号是2213712881，麻烦哪位网管有空帮我看看,[ans]一个宿舍只有一个口可以用，先换个床位/网线试试
198,[qry]请问一下在wenet微信公众号上买了套餐没收到兑换码怎么解决,[ans]找wenet客服
199,[qry]浏览图书馆学位论文，打开论文详情页面，但是找不到“在线阅读”按钮是咋回事儿呢,[ans]好像不能在线阅读
200,[qry]请问学校邮箱毕业后还能用吗？,[ans]可以
201,[qry]安装EasyConnect软件后不断有弹出窗口出现，无法正常登陆,[ans]下载修复工具试试
202,[qry]请问图书馆的网怎么连,[ans]学号后面加@xjtulib
203,[qry]兴庆校区的1x-5g网络为啥搜不到了,[ans]1x是给老师用的/合并了
204,[qry]连不上xjtu-stu,[ans]xjtustu限一个，断开原来的要等10到15分钟新的才能上
205,[qry]兄弟们电子邮箱登陆老显示密码强度不够要修改咋办,[ans]改呗
206,[qry]登录的时候提示账号过期… 不知道是咋回事!,[ans]等老师处理
207,[qry]我想问下，手机能连上网，但是电脑动不动就是无法连接到网络，或者无internet开放，这是为什么呀,[ans]有可能是信号不好，先去客厅连看看情况有没有改善，可以报修让师傅调一下信号